Date : 2023-12-03 17:24:27
Directory : c:\xampp\htdocs\formshub_app
Total : 525 files,  61418 codes, 7296 comments, 9998 blanks, all 78712 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| c:\xampp\htdocs\formshub_app\app\Models\SupportTicket.php                                                     | PHP                |         39 |          8 |         15 |         62 |
| c:\xampp\htdocs\formshub_app\app\Models\ToDo.php                                                              | PHP                |         43 |          5 |         10 |         58 |
| c:\xampp\htdocs\formshub_app\app\Models\TypeSubscribe.php                                                     | PHP                |          9 |          0 |          4 |         13 |
| c:\xampp\htdocs\formshub_app\app\Models\User.php                                                              | PHP                |         64 |         21 |         12 |         97 |
| c:\xampp\htdocs\formshub_app\app\Models\canceledPlan.php                                                      | PHP                |          9 |          0 |          4 |         13 |
| c:\xampp\htdocs\formshub_app\app\Notifications\CancelSubscription.php                                         | PHP                |         33 |         25 |          8 |         66 |
| c:\xampp\htdocs\formshub_app\app\Notifications\DeleteAccount.php                                              | PHP                |         29 |         25 |          8 |         62 |
| c:\xampp\htdocs\formshub_app\app\Notifications\FreePlanExpired.php                                            | PHP                |         37 |         25 |          6 |         68 |
| c:\xampp\htdocs\formshub_app\app\Notifications\InvoiceNotification.php                                        | PHP                |         49 |         27 |         12 |         88 |
| c:\xampp\htdocs\formshub_app\app\Notifications\NewTicket.php                                                  | PHP                |         35 |         28 |          7 |         70 |
| c:\xampp\htdocs\formshub_app\app\Notifications\PlanExpired.php                                                | PHP                |         36 |         25 |          6 |         67 |
| c:\xampp\htdocs\formshub_app\app\Notifications\ResponsesWarning.php                                           | PHP                |         36 |         25 |          7 |         68 |
| c:\xampp\htdocs\formshub_app\app\Notifications\ResponsesZeroWarning.php                                       | PHP                |         36 |         25 |          7 |         68 |
| c:\xampp\htdocs\formshub_app\app\Policies\AccountPolicy.php                                                   | PHP                |         75 |         25 |         20 |        120 |
| c:\xampp\htdocs\formshub_app\app\Providers\AppServiceProvider.php                                             | PHP                |         12 |         12 |          5 |         29 |
| c:\xampp\htdocs\formshub_app\app\Providers\AuthServiceProvider.php                                            | PHP                |         15 |          9 |          6 |         30 |
| c:\xampp\htdocs\formshub_app\app\Providers\BroadcastServiceProvider.php                                       | PHP                |         12 |          5 |          5 |         22 |
| c:\xampp\htdocs\formshub_app\app\Providers\EventServiceProvider.php                                           | PHP                |         21 |         16 |          7 |         44 |
| c:\xampp\htdocs\formshub_app\app\Providers\FortifyServiceProvider.php                                         | PHP                |         63 |          8 |          9 |         80 |
| c:\xampp\htdocs\formshub_app\app\Providers\JetstreamServiceProvider.php                                       | PHP                |         43 |         10 |         10 |         63 |
| c:\xampp\htdocs\formshub_app\app\Providers\RouteServiceProvider.php                                           | PHP                |         31 |         17 |          8 |         56 |
| c:\xampp\htdocs\formshub_app\app\Rules\IsValidNumberPhone.php                                                 | PHP                |         16 |         19 |          6 |         41 |
| c:\xampp\htdocs\formshub_app\app\Rules\IsValidPassword.php                                                    | PHP                |         50 |         32 |         16 |         98 |
| c:\xampp\htdocs\formshub_app\app\View\Components\AppLayout.php                                                | PHP                |         14 |          3 |          4 |         21 |
| c:\xampp\htdocs\formshub_app\app\View\Components\GuestLayout.php                                              | PHP                |         11 |          3 |          4 |         18 |
| c:\xampp\htdocs\formshub_app\bootstrap\app.php                                                                | PHP                |         17 |         30 |          9 |         56 |
| c:\xampp\htdocs\formshub_app\composer.json                                                                    | JSON               |         88 |          0 |          1 |         89 |
| c:\xampp\htdocs\formshub_app\composer.lock                                                                    | JSON               |     10,668 |          0 |          1 |     10,669 |
| c:\xampp\htdocs\formshub_app\config\app.php                                                                   | PHP                |         54 |        134 |         35 |        223 |
| c:\xampp\htdocs\formshub_app\config\auth.php                                                                  | PHP                |         42 |         82 |         14 |        138 |
| c:\xampp\htdocs\formshub_app\config\broadcasting.php                                                          | PHP                |         35 |         23 |         13 |         71 |
| c:\xampp\htdocs\formshub_app\config\cache.php                                                                 | PHP                |         58 |         34 |         19 |        111 |
| c:\xampp\htdocs\formshub_app\config\cors.php                                                                  | PHP                |          3 |         29 |          3 |         35 |
| c:\xampp\htdocs\formshub_app\config\database.php                                                              | PHP                |         91 |         48 |         22 |        161 |
| c:\xampp\htdocs\formshub_app\config\filesystems.php                                                           | PHP                |         32 |         32 |         13 |         77 |
| c:\xampp\htdocs\formshub_app\config\fortify.php                                                               | PHP                |         28 |         96 |         24 |        148 |
| c:\xampp\htdocs\formshub_app\config\hashing.php                                                               | PHP                |         12 |         32 |          9 |         53 |
| c:\xampp\htdocs\formshub_app\config\jetstream.php                                                             | PHP                |         22 |         53 |         16 |         91 |
| c:\xampp\htdocs\formshub_app\config\livewire.php                                                              | PHP                |         24 |        112 |         23 |        159 |
| c:\xampp\htdocs\formshub_app\config\logging.php                                                               | PHP                |         70 |         34 |         19 |        123 |
| c:\xampp\htdocs\formshub_app\config\mail.php                                                                  | PHP                |         53 |         47 |         19 |        119 |
| c:\xampp\htdocs\formshub_app\config\queue.php                                                                 | PHP                |         47 |         32 |         15 |         94 |
| c:\xampp\htdocs\formshub_app\config\sanctum.php                                                               | PHP                |         15 |         41 |         12 |         68 |
| c:\xampp\htdocs\formshub_app\config\services.php                                                              | PHP                |         17 |         11 |          7 |         35 |
| c:\xampp\htdocs\formshub_app\config\session.php                                                               | PHP                |         22 |        147 |         33 |        202 |
| c:\xampp\htdocs\formshub_app\config\view.php                                                                  | PHP                |         10 |         20 |          7 |         37 |
| c:\xampp\htdocs\formshub_app\database\factories\AccountFactory.php                                            | PHP                |         17 |         10 |          5 |         32 |
| c:\xampp\htdocs\formshub_app\database\factories\UserFactory.php                                               | PHP                |         46 |         20 |          8 |         74 |
| c:\xampp\htdocs\formshub_app\database\migrations\2014_10_12_000000_create_users_table.php                     | PHP                |         25 |          6 |          4 |         35 |
| c:\xampp\htdocs\formshub_app\database\migrations\2014_10_12_100000_create_password_resets_table.php           | PHP                |         20 |         10 |          4 |         34 |
| c:\xampp\htdocs\formshub_app\database\migrations\2014_10_12_200000_add_two_factor_columns_to_users_table.php  | PHP                |         35 |          6 |          6 |         47 |
| c:\xampp\htdocs\formshub_app\database\migrations\2019_05_03_000001_create_customer_columns.php                | PHP                |         27 |          6 |          4 |         37 |
| c:\xampp\htdocs\formshub_app\database\migrations\2019_05_03_000002_create_subscriptions_table.php             | PHP                |         27 |          6 |          5 |         38 |
| c:\xampp\htdocs\formshub_app\database\migrations\2019_05_03_000003_create_subscription_items_table.php        | PHP                |         24 |          6 |          5 |         35 |
| c:\xampp\htdocs\formshub_app\database\migrations\2019_08_19_000000_create_failed_jobs_table.php               | PHP                |         24 |         10 |          4 |         38 |
| c:\xampp\htdocs\formshub_app\database\migrations\2019_12_14_000001_create_personal_access_tokens_table.php    | PHP                |         24 |          6 |          4 |         34 |
| c:\xampp\htdocs\formshub_app\database\migrations\2020_05_21_100000_create_teams_table.php                     | PHP                |         21 |          6 |          4 |         31 |
| c:\xampp\htdocs\formshub_app\database\migrations\2020_05_21_200000_create_team_user_table.php                 | PHP                |         22 |          6 |          5 |         33 |
| c:\xampp\htdocs\formshub_app\database\migrations\2020_05_21_300000_create_team_invitations_table.php          | PHP                |         22 |          6 |          5 |         33 |
| c:\xampp\htdocs\formshub_app\database\migrations\2023_01_12_104457_create_sessions_table.php                  | PHP                |         23 |         10 |          4 |         37 |
| c:\xampp\htdocs\formshub_app\database\migrations\2023_01_14_131258_create_countries_table.php                 | PHP                |         21 |         10 |          4 |         35 |
| c:\xampp\htdocs\formshub_app\database\migrations\2023_01_14_131654_create_cities_table.php                    | PHP                |         21 |         10 |          6 |         37 |
| c:\xampp\htdocs\formshub_app\database\migrations\2023_03_19_073413_create_sessions_table.php                  | PHP                |         22 |         10 |          4 |         36 |
| c:\xampp\htdocs\formshub_app\database\migrations\2023_10_04_093936_create_admins_table.php                    | PHP                |         25 |         10 |          4 |         39 |
| c:\xampp\htdocs\formshub_app\index.html                                                                       | HTML               |        347 |         27 |         51 |        425 |
| c:\xampp\htdocs\formshub_app\lang\ar\auth.php                                                                 | PHP                |          7 |         10 |          4 |         21 |
| c:\xampp\htdocs\formshub_app\lang\ar\main.php                                                                 | PHP                |          6 |         10 |          5 |         21 |
| c:\xampp\htdocs\formshub_app\lang\ar\pagination.php                                                           | PHP                |          5 |         10 |          5 |         20 |
| c:\xampp\htdocs\formshub_app\lang\ar\passwords.php                                                            | PHP                |          8 |         10 |          5 |         23 |
| c:\xampp\htdocs\formshub_app\lang\ar\validation.php                                                           | PHP                |        141 |         30 |          9 |        180 |
| c:\xampp\htdocs\formshub_app\lang\en\auth.php                                                                 | PHP                |          8 |         10 |          4 |         22 |
| c:\xampp\htdocs\formshub_app\lang\en\main.php                                                                 | PHP                |          4 |         10 |          6 |         20 |
| c:\xampp\htdocs\formshub_app\lang\en\pagination.php                                                           | PHP                |          5 |         10 |          5 |         20 |
| c:\xampp\htdocs\formshub_app\lang\en\passwords.php                                                            | PHP                |          8 |         10 |          5 |         23 |
| c:\xampp\htdocs\formshub_app\lang\en\validation.php                                                           | PHP                |        141 |         30 |          9 |        180 |
| c:\xampp\htdocs\formshub_app\package-lock.json                                                                | JSON               |      3,235 |          0 |          1 |      3,236 |
| c:\xampp\htdocs\formshub_app\package.json                                                                     | JSON               |         27 |          0 |          1 |         28 |
| c:\xampp\htdocs\formshub_app\phpunit.xml                                                                      | XML                |         29 |          2 |          1 |         32 |
| c:\xampp\htdocs\formshub_app\postcss.config.js                                                                | JavaScript         |          6 |          0 |          1 |          7 |
| c:\xampp\htdocs\formshub_app\public\KioskBoard-main\.dev\.eslintrc.json                                       | JSON               |         43 |          0 |          1 |         44 |
| c:\xampp\htdocs\formshub_app\public\KioskBoard-main\.dev\dev-allinone.js                                      | JavaScript         |         54 |         27 |          7 |         88 |
| c:\xampp\htdocs\formshub_app\public\KioskBoard-main\.dev\dev-constants.js                                     | JavaScript         |         53 |         18 |          7 |         78 |
| c:\xampp\htdocs\formshub_app\public\KioskBoard-main\.dev\dev-minifier.js                                      | JavaScript         |         81 |         39 |         11 |        131 |
| c:\xampp\htdocs\formshub_app\public\KioskBoard-main\.eslintrc.json                                            | JSON               |         43 |          0 |          1 |         44 |
| c:\xampp\htdocs\formshub_app\public\KioskBoard-main\.github\FUNDING.yml                                       | YAML               |          1 |          0 |          1 |          2 |
| c:\xampp\htdocs\formshub_app\public\KioskBoard-main\.github\ISSUE_TEMPLATE\bugreport.md                       | Markdown           |         30 |          0 |          8 |         38 |
| c:\xampp\htdocs\formshub_app\public\KioskBoard-main\.github\ISSUE_TEMPLATE\featurerequest.md                  | Markdown           |         15 |          0 |          5 |         20 |
| c:\xampp\htdocs\formshub_app\public\KioskBoard-main\.stylelintrc.json                                         | JSON               |          3 |          0 |          1 |          4 |
| c:\xampp\htdocs\formshub_app\public\KioskBoard-main\CHANGELOG.md                                              | Markdown           |         87 |          0 |         41 |        128 |
| c:\xampp\htdocs\formshub_app\public\KioskBoard-main\CODE_OF_CONDUCT.md                                        | Markdown           |         57 |          0 |         20 |         77 |
| c:\xampp\htdocs\formshub_app\public\KioskBoard-main\CONTRIBUTING.md                                           | Markdown           |         10 |          0 |          4 |         14 |
| c:\xampp\htdocs\formshub_app\public\KioskBoard-main\README.md                                                 | Markdown           |        198 |          3 |         74 |        275 |
| c:\xampp\htdocs\formshub_app\public\KioskBoard-main\SECURITY.md                                               | Markdown           |          9 |          0 |          6 |         15 |
| c:\xampp\htdocs\formshub_app\public\KioskBoard-main\build\kioskboard-aio.d.ts                                 | TypeScript         |          3 |          0 |          1 |          4 |
| c:\xampp\htdocs\formshub_app\public\KioskBoard-main\build\kioskboard-aio.js                                   | JavaScript         |        696 |        167 |         92 |        955 |
| c:\xampp\htdocs\formshub_app\public\KioskBoard-main\dist\kioskboard-2.3.0.min.css                             | CSS                |          1 |          1 |          1 |          3 |
| c:\xampp\htdocs\formshub_app\public\KioskBoard-main\dist\kioskboard-2.3.0.min.js                              | JavaScript         |          1 |          1 |          1 |          3 |
| c:\xampp\htdocs\formshub_app\public\KioskBoard-main\dist\kioskboard-aio-2.3.0.min.js                          | JavaScript         |          1 |          1 |          1 |          3 |
| c:\xampp\htdocs\formshub_app\public\KioskBoard-main\dist\kioskboard-keys-arabic.json                          | JSON               |         41 |          0 |          0 |         41 |
| c:\xampp\htdocs\formshub_app\public\KioskBoard-main\dist\kioskboard-keys-english.json                         | JSON               |         34 |          0 |          0 |         34 |
| c:\xampp\htdocs\formshub_app\public\KioskBoard-main\dist\kioskboard-keys-french.json                          | JSON               |         38 |          0 |          0 |         38 |
| c:\xampp\htdocs\formshub_app\public\KioskBoard-main\dist\kioskboard-keys-german.json                          | JSON               |         37 |          0 |          0 |         37 |
| c:\xampp\htdocs\formshub_app\public\KioskBoard-main\dist\kioskboard-keys-hungarian.json                       | JSON               |         55 |          0 |          1 |         56 |
| c:\xampp\htdocs\formshub_app\public\KioskBoard-main\dist\kioskboard-keys-persian.json                         | JSON               |         40 |          0 |          0 |         40 |
| c:\xampp\htdocs\formshub_app\public\KioskBoard-main\dist\kioskboard-keys-russian.json                         | JSON               |         41 |          0 |          0 |         41 |
| c:\xampp\htdocs\formshub_app\public\KioskBoard-main\dist\kioskboard-keys-spanish.json                         | JSON               |         35 |          0 |          0 |         35 |
| c:\xampp\htdocs\formshub_app\public\KioskBoard-main\dist\kioskboard-keys-turkish.json                         | JSON               |         40 |          0 |          0 |         40 |
| c:\xampp\htdocs\formshub_app\public\KioskBoard-main\docs\images\Keyboard-Types-Icons-All.svg                  | XML                |         17 |          0 |          0 |         17 |
| c:\xampp\htdocs\formshub_app\public\KioskBoard-main\docs\images\Keyboard-Types-Icons-Keyboard.svg             | XML                |         17 |          0 |          0 |         17 |
| c:\xampp\htdocs\formshub_app\public\KioskBoard-main\docs\images\Keyboard-Types-Icons-Numpad.svg               | XML                |         17 |          0 |          0 |         17 |
| c:\xampp\htdocs\formshub_app\public\KioskBoard-main\docs\images\KioskBoard-Slider.svg                         | XML                |         63 |          0 |          1 |         64 |
| c:\xampp\htdocs\formshub_app\public\KioskBoard-main\docs\index-tooltip.js                                     | JavaScript         |        381 |         22 |        117 |        520 |
| c:\xampp\htdocs\formshub_app\public\KioskBoard-main\docs\index.css                                            | CSS                |        911 |         26 |        136 |      1,073 |
| c:\xampp\htdocs\formshub_app\public\KioskBoard-main\docs\index.html                                           | HTML               |        401 |          6 |         81 |        488 |
| c:\xampp\htdocs\formshub_app\public\KioskBoard-main\docs\index.js                                             | JavaScript         |        121 |         24 |          9 |        154 |
| c:\xampp\htdocs\formshub_app\public\KioskBoard-main\docs\kioskboard-aio-2.3.0.min.js                          | JavaScript         |          1 |          1 |          1 |          3 |
| c:\xampp\htdocs\formshub_app\public\KioskBoard-main\docs\kioskboard-keys-turkish.json                         | JSON               |         40 |          0 |          0 |         40 |
| c:\xampp\htdocs\formshub_app\public\KioskBoard-main\index.d.test.ts                                           | TypeScript         |         93 |          0 |          4 |         97 |
| c:\xampp\htdocs\formshub_app\public\KioskBoard-main\index.d.ts                                                | TypeScript         |         33 |        133 |         29 |        195 |
| c:\xampp\htdocs\formshub_app\public\KioskBoard-main\package.json                                              | JSON               |         51 |          0 |          1 |         52 |
| c:\xampp\htdocs\formshub_app\public\KioskBoard-main\src\kioskboard.css                                        | CSS                |        657 |         36 |        114 |        807 |
| c:\xampp\htdocs\formshub_app\public\KioskBoard-main\src\kioskboard.d.ts                                       | TypeScript         |          3 |          0 |          1 |          4 |
| c:\xampp\htdocs\formshub_app\public\KioskBoard-main\src\kioskboard.js                                         | JavaScript         |        696 |        166 |         92 |        954 |
| c:\xampp\htdocs\formshub_app\public\KioskBoard-main\tsconfig.json                                             | JSON with Comments |         36 |          0 |          1 |         37 |
| c:\xampp\htdocs\formshub_app\public\images\flags\gb.svg                                                       | XML                |         23 |          1 |          1 |         25 |
| c:\xampp\htdocs\formshub_app\public\images\flags\ph.svg                                                       | XML                |          6 |          1 |          5 |         12 |
| c:\xampp\htdocs\formshub_app\public\images\flags\pk.svg                                                       | XML                |          6 |          1 |          5 |         12 |
| c:\xampp\htdocs\formshub_app\public\images\flags\sa.svg                                                       | XML                |          6 |          1 |          5 |         12 |
| c:\xampp\htdocs\formshub_app\public\images\survey_types\Arabic\desktop.ini                                    | Ini                |          7 |          0 |          0 |          7 |
| c:\xampp\htdocs\formshub_app\public\images\survey_types\English\desktop.ini                                   | Ini                |          7 |          0 |          0 |          7 |
| c:\xampp\htdocs\formshub_app\public\images\svg\ChevronLeft.svg                                                | XML                |          3 |          0 |          0 |          3 |
| c:\xampp\htdocs\formshub_app\public\images\svg\ChevronRight.svg                                               | XML                |          3 |          0 |          0 |          3 |
| c:\xampp\htdocs\formshub_app\public\images\svg\logo_1_transparent.svg                                         | XML                |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\formshub_app\public\images\svg\to_do.svg                                                      | XML                |          6 |          1 |          5 |         12 |
| c:\xampp\htdocs\formshub_app\public\index.php                                                                 | PHP                |         14 |         30 |         12 |         56 |
| c:\xampp\htdocs\formshub_app\public\js\Chart.min.js                                                           | JavaScript         |          1 |          6 |          1 |          8 |
| c:\xampp\htdocs\formshub_app\public\js\alpine.min.js                                                          | JavaScript         |          1 |          7 |          1 |          9 |
| c:\xampp\htdocs\formshub_app\public\js\bootstrap.min.js                                                       | JavaScript         |          1 |          6 |          1 |          8 |
| c:\xampp\htdocs\formshub_app\public\js\chart.umd.min.js                                                       | JavaScript         |          2 |         18 |          1 |         21 |
| c:\xampp\htdocs\formshub_app\public\js\countries.js                                                           | JavaScript         |          4 |          0 |          1 |          5 |
| c:\xampp\htdocs\formshub_app\public\js\countries.json                                                         | JSON               |      1,453 |          0 |          1 |      1,454 |
| c:\xampp\htdocs\formshub_app\public\js\cropper.min.js                                                         | JavaScript         |          1 |          9 |          1 |         11 |
| c:\xampp\htdocs\formshub_app\public\js\flowbite.min.js                                                        | JavaScript         |          1 |          1 |          1 |          3 |
| c:\xampp\htdocs\formshub_app\public\js\ijaboCropTool.min.js                                                   | JavaScript         |          1 |          6 |          0 |          7 |
| c:\xampp\htdocs\formshub_app\public\js\index.min.js                                                           | JavaScript         |        270 |         31 |          6 |        307 |
| c:\xampp\htdocs\formshub_app\public\js\jquery-ui.min.js                                                       | JavaScript         |          8 |          4 |          1 |         13 |
| c:\xampp\htdocs\formshub_app\public\js\jquery.min.js                                                          | JavaScript         |          3 |          2 |          1 |          6 |
| c:\xampp\htdocs\formshub_app\public\js\jquery.signature.js                                                    | JavaScript         |        261 |        131 |         30 |        422 |
| c:\xampp\htdocs\formshub_app\public\js\keyboard.js                                                            | JavaScript         |        571 |        140 |         78 |        789 |
| c:\xampp\htdocs\formshub_app\public\js\libphonenumber-max.js                                                  | JavaScript         |          1 |          1 |          1 |          3 |
| c:\xampp\htdocs\formshub_app\public\js\metro.min.js                                                           | JavaScript         |          1 |          7 |          1 |          9 |
| c:\xampp\htdocs\formshub_app\public\js\owl.carousel.min.js                                                    | JavaScript         |          2 |          0 |          1 |          3 |
| c:\xampp\htdocs\formshub_app\public\js\register.js                                                            | JavaScript         |         74 |          0 |          6 |         80 |
| c:\xampp\htdocs\formshub_app\public\js\sort-list.js                                                           | JavaScript         |         37 |          9 |          8 |         54 |
| c:\xampp\htdocs\formshub_app\public\js\sweetalert.min.js                                                      | JavaScript         |          2 |          4 |          1 |          7 |
| c:\xampp\htdocs\formshub_app\public\js\tom-select.complete.min.js                                             | JavaScript         |        416 |          5 |          1 |        422 |
| c:\xampp\htdocs\formshub_app\public\styles\bootstrap.min.css                                                  | CSS                |          1 |          6 |          1 |          8 |
| c:\xampp\htdocs\formshub_app\public\styles\datepicker.css                                                     | CSS                |         20 |          0 |          1 |         21 |
| c:\xampp\htdocs\formshub_app\public\styles\flowbite.min.css                                                   | CSS                |          1 |          0 |          1 |          2 |
| c:\xampp\htdocs\formshub_app\public\styles\ijaboCropTool.min.css                                              | CSS                |          1 |          6 |          0 |          7 |
| c:\xampp\htdocs\formshub_app\public\styles\index.min.css                                                      | CSS                |          1 |         11 |          1 |         13 |
| c:\xampp\htdocs\formshub_app\public\styles\jquery-ui.css                                                      | CSS                |      1,222 |         48 |         41 |      1,311 |
| c:\xampp\htdocs\formshub_app\public\styles\jquery.signature.css                                               | CSS                |          8 |          1 |          0 |          9 |
| c:\xampp\htdocs\formshub_app\public\styles\keyboard.css                                                       | CSS                |         57 |         12 |         14 |         83 |
| c:\xampp\htdocs\formshub_app\public\styles\loading.css                                                        | CSS                |        185 |          8 |          1 |        194 |
| c:\xampp\htdocs\formshub_app\public\styles\login-style.css                                                    | CSS                |          0 |          0 |          1 |          1 |
| c:\xampp\htdocs\formshub_app\public\styles\main-style.css                                                     | CSS                |          3 |          0 |          2 |          5 |
| c:\xampp\htdocs\formshub_app\public\styles\owl.carousel.min.css                                               | CSS                |         36 |          0 |          1 |         37 |
| c:\xampp\htdocs\formshub_app\public\styles\owl.theme.default.min.css                                          | CSS                |         13 |          0 |          1 |         14 |
| c:\xampp\htdocs\formshub_app\public\styles\print.css                                                          | CSS                |          5 |          1 |          1 |          7 |
| c:\xampp\htdocs\formshub_app\public\styles\score.css                                                          | CSS                |         63 |         21 |         14 |         98 |
| c:\xampp\htdocs\formshub_app\public\styles\sort-list.css                                                      | CSS                |         19 |          2 |          2 |         23 |
| c:\xampp\htdocs\formshub_app\public\styles\sortable.min.css                                                   | CSS                |         19 |          0 |          1 |         20 |
| c:\xampp\htdocs\formshub_app\public\vendor\livewire\livewire.js                                               | JavaScript         |          3 |         11 |          1 |         15 |
| c:\xampp\htdocs\formshub_app\public\vendor\livewire\manifest.json                                             | JSON               |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\formshub_app\resources\css\app.css                                                            | CSS                |          3 |          0 |          2 |          5 |
| c:\xampp\htdocs\formshub_app\resources\css\register-style.css                                                 | CSS                |          3 |          0 |          1 |          4 |
| c:\xampp\htdocs\formshub_app\resources\js\app.js                                                              | JavaScript         |          6 |          0 |          4 |         10 |
| c:\xampp\htdocs\formshub_app\resources\js\bootstrap.js                                                        | JavaScript         |         18 |         10 |          8 |         36 |
| c:\xampp\htdocs\formshub_app\resources\markdown\policy.md                                                     | Markdown           |          2 |          0 |          2 |          4 |
| c:\xampp\htdocs\formshub_app\resources\markdown\terms.md                                                      | Markdown           |          2 |          0 |          2 |          4 |
| c:\xampp\htdocs\formshub_app\resources\views\accounts\account-member-manager.blade.php                        | PHP                |        258 |          2 |         51 |        311 |
| c:\xampp\htdocs\formshub_app\resources\views\accounts\billings.blade.php                                      | PHP                |          9 |          0 |          7 |         16 |
| c:\xampp\htdocs\formshub_app\resources\views\accounts\create-account-form.blade.php                           | PHP                |         30 |          0 |          7 |         37 |
| c:\xampp\htdocs\formshub_app\resources\views\accounts\create.blade.php                                        | PHP                |         12 |          0 |          2 |         14 |
| c:\xampp\htdocs\formshub_app\resources\views\accounts\delete-account-form.blade.php                           | PHP                |         35 |          0 |          8 |         43 |
| c:\xampp\htdocs\formshub_app\resources\views\accounts\show.blade.php                                          | PHP                |         30 |          0 |         18 |         48 |
| c:\xampp\htdocs\formshub_app\resources\views\accounts\subscriptions.blade.php                                 | PHP                |          9 |          0 |          7 |         16 |
| c:\xampp\htdocs\formshub_app\resources\views\accounts\update-account-name-form.blade.php                      | PHP                |        121 |          0 |         29 |        150 |
| c:\xampp\htdocs\formshub_app\resources\views\add_sign_pdf.blade.php                                           | PHP                |          9 |          0 |          7 |         16 |
| c:\xampp\htdocs\formshub_app\resources\views\admin\accounts.blade.php                                         | PHP                |        215 |          1 |         50 |        266 |
| c:\xampp\htdocs\formshub_app\resources\views\admin\canceled_plans.blade.php                                   | PHP                |        210 |          1 |         57 |        268 |
| c:\xampp\htdocs\formshub_app\resources\views\admin\dashboard.blade.php                                        | PHP                |        347 |          6 |         64 |        417 |
| c:\xampp\htdocs\formshub_app\resources\views\admin\deleted_accounts.blade.php                                 | PHP                |        188 |          1 |         51 |        240 |
| c:\xampp\htdocs\formshub_app\resources\views\admin\includes\head.blade.php                                    | PHP                |         25 |          0 |          4 |         29 |
| c:\xampp\htdocs\formshub_app\resources\views\admin\invoices.blade.php                                         | PHP                |        217 |          2 |         48 |        267 |
| c:\xampp\htdocs\formshub_app\resources\views\admin\kiosks.blade.php                                           | PHP                |        309 |          2 |         73 |        384 |
| c:\xampp\htdocs\formshub_app\resources\views\admin\layouts\navigation.blade.php                               | PHP                |        206 |          1 |         40 |        247 |
| c:\xampp\htdocs\formshub_app\resources\views\admin\settings.blade.php                                         | PHP                |        642 |          2 |         70 |        714 |
| c:\xampp\htdocs\formshub_app\resources\views\admin\subscriptions.blade.php                                    | PHP                |        188 |          2 |         53 |        243 |
| c:\xampp\htdocs\formshub_app\resources\views\admin\support_tickets.blade.php                                  | PHP                |        276 |          6 |         61 |        343 |
| c:\xampp\htdocs\formshub_app\resources\views\admin\surveys.blade.php                                          | PHP                |        155 |          1 |         52 |        208 |
| c:\xampp\htdocs\formshub_app\resources\views\admin\users.blade.php                                            | PHP                |        208 |          1 |         51 |        260 |
| c:\xampp\htdocs\formshub_app\resources\views\api\api-token-manager.blade.php                                  | PHP                |        144 |          0 |         26 |        170 |
| c:\xampp\htdocs\formshub_app\resources\views\api\index.blade.php                                              | PHP                |         12 |          0 |          2 |         14 |
| c:\xampp\htdocs\formshub_app\resources\views\api\termsandconditions.blade.php                                 | PHP                |          7 |          0 |          2 |          9 |
| c:\xampp\htdocs\formshub_app\resources\views\auth\confirm-password.blade.php                                  | PHP                |         23 |          0 |          6 |         29 |
| c:\xampp\htdocs\formshub_app\resources\views\auth\forgot-password.blade.php                                   | PHP                |         34 |          0 |          9 |         43 |
| c:\xampp\htdocs\formshub_app\resources\views\auth\invalidsignature.blade.php                                  | PHP                |         20 |          0 |         18 |         38 |
| c:\xampp\htdocs\formshub_app\resources\views\auth\login.blade.php                                             | PHP                |         63 |         10 |         21 |         94 |
| c:\xampp\htdocs\formshub_app\resources\views\auth\register.blade.php                                          | PHP                |         94 |          0 |         24 |        118 |
| c:\xampp\htdocs\formshub_app\resources\views\auth\registerdone.blade.php                                      | PHP                |        130 |          9 |         23 |        162 |
| c:\xampp\htdocs\formshub_app\resources\views\auth\reset-password.blade.php                                    | PHP                |        161 |          0 |         42 |        203 |
| c:\xampp\htdocs\formshub_app\resources\views\auth\two-factor-challenge.blade.php                              | PHP                |         47 |          0 |         10 |         57 |
| c:\xampp\htdocs\formshub_app\resources\views\auth\verify-email.blade.php                                      | PHP                |         74 |          6 |         27 |        107 |
| c:\xampp\htdocs\formshub_app\resources\views\components\action.blade.php                                      | PHP                |         47 |          0 |          4 |         51 |
| c:\xampp\htdocs\formshub_app\resources\views\components\add-answer-button.blade.php                           | PHP                |         14 |          0 |          3 |         17 |
| c:\xampp\htdocs\formshub_app\resources\views\components\answer-actions.blade.php                              | PHP                |         60 |          0 |         12 |         72 |
| c:\xampp\htdocs\formshub_app\resources\views\components\answer-delete.blade.php                               | PHP                |          9 |          0 |          1 |         10 |
| c:\xampp\htdocs\formshub_app\resources\views\components\application-logo.blade.php                            | PHP                |          3 |          0 |          1 |          4 |
| c:\xampp\htdocs\formshub_app\resources\views\components\auth-session-status.blade.php                         | PHP                |          6 |          0 |          2 |          8 |
| c:\xampp\htdocs\formshub_app\resources\views\components\danger-button.blade.php                               | PHP                |          3 |          0 |          1 |          4 |
| c:\xampp\htdocs\formshub_app\resources\views\components\dropdown-link.blade.php                               | PHP                |          2 |          0 |          1 |          3 |
| c:\xampp\htdocs\formshub_app\resources\views\components\dropdown.blade.php                                    | PHP                |         39 |          0 |          5 |         44 |
